ADVERTISER_NAME,advertiser_industry,SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile
Sky Showtime,entertainment,adx,www.firma.egospodarka.pl,,Desktop,Web,DISPLAY,336x280,PL,13200,8459,12556,0.6737000000000001,3,0.02,3.699943,0.28,0.437,1.233,0,0.0,0.6408,0.9512,0.4374,0.8125,0.1018,0.8125,low,IAB1,,entertainment,"mass_reach,young_adults"
BR Pepsico Gatorade,food,rp,www.f1mania.net,,Mobile,Web,DISPLAY,300x250,BR,13035,5581,12637,0.4416,63,0.48,15.721119,1.206,2.817,0.25,0,0.0,0.4282,0.9695,2.8169,0.7056,0.0158,0.5055,medium,IAB8,,other,"mass_reach,parents"
Doritos - PT,food,adx,sic.pt,,Mobile,Web,DISPLAY,300x250,PT,12964,8184,12702,0.6443000000000001,50,0.39,11.26334,0.869,1.376,0.225,0,0.0,0.6313,0.9798,1.3763,0.8121,0.0324,0.8121,low,IAB8,,other,"mass_reach,parents"
Sheilas Wheels,finance,triplelift,www.hellomagazine.com,,Mobile,Web,DISPLAY,300x250,GB,12881,8120,12758,0.6365,34,0.26,27.185452,2.111,3.348,0.8,0,0.0,0.6304,0.9905,3.348,0.8135,0.0133,0.8135,low,IAB13,,finance,"professionals,high_income"
PL Bricoman,retail,adx,www.trojmiasto.pl,,Mobile,Web,DISPLAY,300x250,PL,12805,8108,12532,0.647,10,0.08,28.75641,2.246,3.547,2.876,0,0.0,0.6332,0.9787,3.5467,0.8129,0.0126,0.8129,low,IAB22,,shopping,"mass_reach,young_adults"
Bouygues Telecom,tech,outbrain,www.gala.fr,,Desktop,Web,DISPLAY,500x120,FR,12792,0,0,0.0,6,0.05,6.444504,0.504,0.0,1.074,0,0.0,0.0,0.0,,0.0,0.0,0.0,high,IAB19,,technology,"young_adults,tech_enthusiasts"
Sky Showtime,entertainment,adx,suntmamica.com,,Mobile,Web,DISPLAY,336x280,RO,12783,10595,12722,0.8328,43,0.34,8.740171,0.684,0.825,0.203,0,0.0,0.8288,0.9952,0.8249,0.914,0.054,0.914,low,IAB1,,entertainment,"mass_reach,young_adults"
mtl_emea_it_ip_fp_multi,other,appnexus,www.cookist.it,,Mobile,Web,VIDEO,1300x1280,IT,12693,0,0,0.0,297,0.0233999999999999,94.695497,7.46,0.0,0.319,10288,0.8105,0.0,0.0,,0.2026,0.0,0.0,high,IAB0,,other,mass_reach
Sheilas Wheels,finance,rp,www.techradar.com,,Mobile,Web,DISPLAY,300x50,GB,12605,7032,12222,0.5754,14,0.11,102.986601,8.17,14.645,7.356,0,0.0,0.5579,0.9696,14.6454,0.7725,0.003,0.7725,low,IAB13,,finance,"professionals,high_income"
Keeta,other,appnexus,www.tudogostoso.com.br,,Mobile,Web,DISPLAY,728x90,BR,12513,11604,12217,0.9498,21,0.17,17.568291,1.404,1.514,0.837,0,0.0,0.9274,0.9763,1.514,0.963,0.0294,0.963,low,IAB0,,other,mass_reach
Sky Showtime,entertainment,adx,zagan.naszemiasto.pl,,Mobile,Web,DISPLAY,320x100,PL,12500,11610,12292,0.9445,18,0.14,4.799186,0.384,0.413,0.267,0,0.0,0.9288,0.9834,0.4134,0.964,0.1078,0.964,low,IAB1,,entertainment,"mass_reach,young_adults"
mtl_emea_uk_ip_fp_multi,other,adx,www.allrecipes.com,,Desktop,Web,VIDEO,1300x1280,GB,12378,11627,11934,0.9743,13,0.11,130.837825,10.57,11.253,10.064,11182,0.9034,0.9393,0.9641,11.2529,0.953,0.004,0.9692,low,IAB0,,other,mass_reach
Sky Showtime,entertainment,onetag,www.cinemagia.ro,,Desktop,Web,DISPLAY,336x280,RO,12225,817,11559,0.0707,2,0.02,2.720146,0.223,3.329,1.36,0,0.0,0.0668,0.9455,3.3294,0.5081,0.0134,0.3081,high,IAB1,,entertainment,"mass_reach,young_adults"
Warner Bros - Global,entertainment,rp,vsco.co,,Mobile,Web,DISPLAY,970x250,HN,12087,10346,11280,0.9172,135,1.12,11.449889,0.947,1.107,0.085,0,0.0,0.856,0.9332,1.1067,0.9252,0.0403,0.9252,low,IAB1,,entertainment,"mass_reach,young_adults"
